,data_name,data_source,full_validation_dataset,training_set_ratio,validation_set_ratio,test_set_ratio,tissue,cell_count,species,health_status,is_perturbed,perturbation_type,perturbation_count,has_temporal_info,sampling_point_count,temporal_value,temporal_unit,storage_path,data_type,sequencing_technology
10,K562_GW.ANAPC15.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,74001,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
11,exp7.TOMM20.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,7315,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
12,exp7.RPS18.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,6977,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
13,K562_GW.PPP1R3E.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,73503,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
14,k562_tfs_highmoi.E2F4.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,10794,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
15,exp7.YBX1.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,7317,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
16,exp9.HUS1.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,1295,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
17,K562_GW.NCBP2.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,73461,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
18,exp7.ATF4.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,6748,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
19,k562_tfs_13.YY1.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,4050,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
20,K562_GW.PPP1CA.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,73478,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
21,exp8.HSPA9.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,6167,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
22,exp8.TIMM50.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,5905,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
23,exp7.EXOSC4.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,7299,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
24,PRJNA551220.ZNF318.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,12134,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
25,K562_GW.ABHD14B.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,73722,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
26,K562_GW.ZNF574.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,73576,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
27,exp7.ATP5A1.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,6770,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
28,K562_GW.ARHGEF1.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,73540,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
29,exp6.TOPBP1.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,4978,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
30,K562_GW.PSTK.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,73701,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
31,UPR_Perturb_seq.SAMM50.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,8110,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
32,K562_GW.RBL2.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,73492,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
33,K562_GW.SEMA4C.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,73488,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
34,k562_tfs_13.None.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,6485,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
35,UPR_Perturb_seq.DHDDS.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,7829,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
36,exp8.RPL30.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,6420,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
37,k562_tfs_7.GABCTRLA.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,6763,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
38,exp8.HSF1.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,6138,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
39,k562_ccycle.CABP7.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,4035,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
40,exp1-5.SRP72.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,8122,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
41,UPR_Perturb_seq.TTI2.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,7962,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
42,K562_essential.PSMD6.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,10944,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
43,exp6.FDPS_HUS1.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,7869,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
44,k562_tfs_13.EGR1.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,4432,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
45,PRJNA551220.KIF2C.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,12125,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
46,exp1-5.TMED10.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,8178,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
47,PRJNA551220.CEBPE.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,12668,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
48,exp7.CREB1.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,7865,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
49,exp1-5.SCYL1.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,7910,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
50,K562_GW.FOXP1.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,73746,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
51,exp7.LONP1.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,8257,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
52,K562_GW.RHOQ.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,73496,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
53,K562_GW.PPP2R1A.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,73974,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
54,exp6.HMGCR_HUS1.link.h5ad,PerturBase,1,0.0,0.0,1.0,K562,5906,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
55,210322_TFAtlas.YBX3.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,3464,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
56,210322_TFAtlas.XBP1.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2567,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
57,210322_TFAtlas.CUX1.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2514,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
58,210322_TFAtlas.PUF60.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2572,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
59,210322_TFAtlas.HOXA7.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2973,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
60,210322_TFAtlas.HMGB4.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2969,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
61,201218_RNA.NKX2.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2069,Homo sapiens,,1,Gene,1.0,1,2.0,"4.0,7.0",day,/gpfs/hybrid/data/public/PerturBase/gene_perturb.true_time/5.link_cells,h5ad,RNA
62,210322_TFAtlas.HOXB1.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2478,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
63,210322_TFAtlas.SIRT6.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,3219,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
64,210322_TFAtlas.KLF2.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2958,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
65,210322_TFAtlas.BHLHE22.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2628,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
66,201218_RNA.ASCL3.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2613,Homo sapiens,,1,Gene,1.0,1,2.0,"4.0,7.0",day,/gpfs/hybrid/data/public/PerturBase/gene_perturb.true_time/5.link_cells,h5ad,RNA
67,210322_TFAtlas.ETV7.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,5824,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
68,210322_TFAtlas.GTF2IRD2.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2795,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
69,210322_TFAtlas.LDB2.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,3345,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
70,210322_TFAtlas.E2F6.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2808,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
71,210322_TFAtlas.TCF21.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2971,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
72,210322_TFAtlas.TSHZ1.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2863,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
73,210322_TFAtlas.SMARCB1.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2624,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
74,210322_TFAtlas.PREB.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2530,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
75,210322_TFAtlas.HESX1.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2545,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
76,210322_TFAtlas.CARHSP1.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2956,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
77,201218_RNA.NR5A1.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2445,Homo sapiens,,1,Gene,1.0,1,2.0,"4.0,7.0",day,/gpfs/hybrid/data/public/PerturBase/gene_perturb.true_time/5.link_cells,h5ad,RNA
78,Driver_lib.BCL-XL.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,1814,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
79,210322_TFAtlas.ALYREF.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2629,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",year,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
80,201218_RNA.POU5F2.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2337,Homo sapiens,,1,Gene,1.0,1,2.0,"4.0,7.0",day,/gpfs/hybrid/data/public/PerturBase/gene_perturb.true_time/5.link_cells,h5ad,RNA
81,210322_TFAtlas.IL18.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2553,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
82,210322_TFAtlas.ZNF544.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,3966,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
83,201218_RNA.KLF5.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,3117,Homo sapiens,,1,Gene,1.0,1,2.0,"4.0,7.0",day,/gpfs/hybrid/data/public/PerturBase/gene_perturb.true_time/5.link_cells,h5ad,RNA
84,210322_TFAtlas.HOXD8.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,4228,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
85,201218_RNA.POU2F2.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2125,Homo sapiens,,1,Gene,1.0,1,2.0,"4.0,7.0",day,/gpfs/hybrid/data/public/PerturBase/gene_perturb.true_time/5.link_cells,h5ad,RNA
86,210322_TFAtlas.PAX8.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,3212,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
87,210322_TFAtlas.TEF.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,3946,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
88,210322_TFAtlas.EWSR1.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,3123,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
89,210322_TFAtlas.ZNF680.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2999,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
90,210322_TFAtlas.ING4.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,5313,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
91,210322_TFAtlas.IKZF3.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,3765,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
92,201218_RNA.SMAD3.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,3366,Homo sapiens,,1,Gene,1.0,1,2.0,"4.0,7.0",day,/gpfs/hybrid/data/public/PerturBase/gene_perturb.true_time/5.link_cells,h5ad,RNA
93,210322_TFAtlas.MSC.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2973,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
94,210322_TFAtlas.LMO3.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,4562,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
95,210322_TFAtlas.ZNF691.link.h5ad,PerturBase,1,0.0,0.0,1.0,Embryonic stem cells,2518,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
96,KRAS.V14I.link.h5ad,PerturBase,1,0.0,0.0,1.0,A549,1401,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
97,sciPlex3_A549.PHA-680632_0.1uM.link.h5ad,PerturBase,1,0.0,0.0,1.0,A549,6329,Homo sapiens,,1,Drug,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/drug_perturb.pseudotime/5.link_cells,h5ad,RNA
98,TP53.R273H.link.h5ad,PerturBase,1,0.0,0.0,1.0,A549,1166,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
99,TP53.D21D.link.h5ad,PerturBase,1,0.0,0.0,1.0,A549,1083,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
100,KRAS.A146T.link.h5ad,PerturBase,1,0.0,0.0,1.0,A549,1554,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
101,sciPlex3_A549.Roxadustat_10uM.link.h5ad,PerturBase,1,0.0,0.0,1.0,A549,6393,Homo sapiens,,1,Drug,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/drug_perturb.pseudotime/5.link_cells,h5ad,RNA
102,KRAS.K117N.link.h5ad,PerturBase,1,0.0,0.0,1.0,A549,1448,Homo sapiens,,1,Gene,1.0,1,2.0,"0,1",,/gpfs/hybrid/data/public/PerturBase/gene_perturb.pseudotime/5.link_cells,h5ad,RNA
